Creativity,Openness to Diverse Cultures,Artistic Interests,Reliability,Attention to Detail,Sociability,Energy Levels,Assertiveness,Compassion,Cooperation,Trust in Others,Altruism,Modesty,Stress Management,Anxiety Levels,Mood Swings,Smoking and Drinking Habits,Cultural Values,LifeStyle Compatibility Score,Interest Match Score,Communication Compatibility,Interaction Potential,Environmental Preference,Core Values Score,Social Engagement Score,Responsibility Score,Openness to Experience Score,Emotional Intelligence Score,Score,Personal Traits and Habits Category_High,Personal Traits and Habits Category_Low,Personal Traits and Habits Category_Medium,Lifestyle and Cultural Preferences Category_High,Lifestyle and Cultural Preferences Category_Low,Lifestyle and Cultural Preferences Category_Medium,max_similarity,mean_top_k_similarity,is_compatible
4,2,5,5,4,1,4,4,2,2,2,3,2,2,2,4,4,3,3.2,3.0,3.0,3.333333333333333,4.5,3.0,2.666666666666667,1.333333333333333,3.0,3.5,3.053333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999996,0.9846194764449535,True
3,4,3,2,1,2,3,4,1,2,1,3,1,1,1,5,3,2,4.4,3.166666666666667,2.4,2.333333333333333,4.0,2.5,2.666666666666667,4.333333333333333,4.0,2.5,3.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9763232044960388,True
2,4,3,1,2,4,4,4,2,2,2,1,3,1,1,4,3,3,3.4,2.5,2.6,3.0,4.0,3.5,2.0,3.333333333333333,3.5,3.0,3.083333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.9812059288264866,True
2,3,4,2,1,3,3,3,2,2,2,4,3,2,3,4,4,4,3.2,3.166666666666667,3.2,2.333333333333333,2.0,2.5,3.333333333333333,3.333333333333333,2.0,3.0,2.806666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9759922072199301,True
3,3,5,3,3,1,5,5,1,1,1,3,2,1,1,5,3,3,3.8,3.333333333333333,3.4,2.333333333333333,5.0,3.0,3.0,4.0,3.0,3.0,3.386666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999997,0.977602608950775,True
3,2,4,2,3,3,4,3,1,2,1,2,2,2,1,4,4,4,3.4,2.666666666666667,3.0,2.666666666666667,3.0,3.0,3.333333333333333,3.0,3.5,2.5,3.006666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999994,0.9840956206350897,True
4,3,3,5,4,2,4,4,2,2,2,4,4,1,1,5,5,5,4.0,2.833333333333333,3.6,4.0,3.0,3.0,2.666666666666667,3.0,3.5,2.5,3.21,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9791789802319105,True
3,2,5,5,3,2,4,2,1,2,1,1,1,2,2,4,4,3,3.2,3.5,2.8,2.333333333333333,5.0,2.5,3.0,2.0,3.0,4.0,3.133333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9827469693593246,True
2,3,4,2,4,3,4,4,2,3,2,3,4,1,1,5,4,2,3.4,2.833333333333333,3.0,2.333333333333333,3.0,3.0,2.666666666666667,2.666666666666667,2.5,3.0,2.840000000000001,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.98291372575924,True
1,5,2,2,5,3,3,3,3,3,3,3,3,5,5,1,2,3,3.0,2.666666666666667,2.2,3.666666666666667,2.5,3.5,3.333333333333333,3.666666666666667,4.0,4.0,3.253333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.9653493151213197,True
3,3,3,4,3,4,3,4,3,5,4,4,5,2,3,4,2,5,3.2,3.666666666666667,3.4,3.333333333333333,3.0,3.0,2.333333333333333,3.333333333333333,2.5,3.5,3.126666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9847718957821344,True
3,3,5,5,5,5,1,3,5,5,5,5,3,2,5,3,5,5,4.6,4.666666666666667,3.2,5.0,4.0,2.0,3.0,3.0,3.0,4.0,3.646666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.9792102242257423,True
4,4,5,4,5,1,5,1,1,5,4,1,5,1,2,5,5,5,4.0,3.166666666666667,3.2,1.666666666666667,3.0,3.0,3.666666666666667,1.333333333333333,3.0,3.0,2.903333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.968605899780707,True
1,5,1,1,1,5,1,5,5,3,3,4,5,2,2,3,1,5,2.8,3.333333333333333,2.6,3.333333333333333,3.5,3.0,2.666666666666667,5.0,3.0,2.5,3.173333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9835729594608326,True
1,5,1,1,2,4,3,5,4,4,2,4,5,2,4,5,5,4,4.2,3.5,4.6,3.666666666666667,4.5,2.5,2.333333333333333,3.666666666666667,3.5,3.0,3.546666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999997,0.9815989301279663,True
2,4,4,5,3,4,2,3,4,3,3,5,5,5,5,5,5,3,3.6,3.833333333333333,3.8,2.666666666666667,4.5,2.0,3.666666666666667,3.666666666666667,2.0,3.5,3.323333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0000000000000004,0.9738833265261952,True
1,4,2,2,2,4,3,4,4,3,3,4,4,2,3,3,3,3,3.8,2.5,3.4,3.666666666666667,3.0,3.0,2.666666666666667,3.666666666666667,3.0,3.0,3.17,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.9888496141672525,True
4,2,4,3,4,1,4,3,2,3,2,2,1,4,1,5,4,2,3.2,3.166666666666667,3.2,3.333333333333333,2.5,3.5,4.0,2.0,3.0,3.5,3.14,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9805324498286125,True
4,3,4,5,5,2,5,4,4,2,1,1,1,1,1,5,4,2,4.2,2.333333333333333,2.8,3.666666666666667,2.0,4.5,3.666666666666667,2.666666666666667,3.5,3.0,3.233333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999994,0.9727130287905208,True
5,2,5,5,5,4,1,4,4,4,4,5,4,3,4,3,4,4,3.2,3.5,4.2,4.666666666666667,4.0,4.0,2.0,2.666666666666667,3.0,2.5,3.373333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999996,0.983354706426053,True
3,3,4,1,1,5,1,5,3,4,3,5,4,2,4,4,3,3,3.6,3.333333333333333,3.0,3.0,3.0,2.5,2.333333333333333,3.333333333333333,2.5,3.0,2.96,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999997,0.9820594623120193,True
3,4,4,5,1,3,3,4,3,5,4,3,4,1,1,4,2,2,2.6,2.333333333333333,2.8,3.0,2.0,4.0,3.333333333333333,3.333333333333333,2.0,5.0,3.04,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999997,0.9652104498732262,True
